BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.04,Analysis/Development and Validation,PS,Personnel Services,495159,0,410030.9,410030.9
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.45,Litigation,QM,Supplies & Materials,105010,0,242601,242601
2016,GNFD,General Fund,0001STS,Street Services GF,9.99,Department Support,QV,Contractual & Other Services,0,0,269785.03,269785.03
2016,GNFD,General Fund,0001EBS,Building Services GF,3.11,Custodial Maintenance,QV,Contractual & Other Services,1488485,9,1497746.19,1497755.19
2016,GNFD,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,5.13,Center for Performance Excellence,RE,Reimbursements,-306774,0,-323979.58,-323979.58
2016,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,PS,Personnel Services,2194573,363.12,2273520.6,2273883.72
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.04,Analysis/Development and Validation,QV,Contractual & Other Services,269700,32132.97,100103.8,132236.77
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,QV,Contractual & Other Services,311320,0,269331.44,269331.44
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.28,Police Legal Liaison,QM,Supplies & Materials,3639,0,0,0
2016,GNFD,General Fund,0001PBW,Public Works GF,1.01,Adjudication Office,QV,Contractual & Other Services,66043,0,90727.95,90727.95
2016,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.13,"Environ Enforcement, Compliance, and Support (Legal Service)",QM,Supplies & Materials,2398,0,0,0
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,9.99,Department Support,RE,Reimbursements,-1673325,0,-1928589.04,-1928589.04
2016,GNFD,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,5.13,Center for Performance Excellence,QV,Contractual & Other Services,309220,0,296440.96,296440.96
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,QM,Supplies & Materials,102152,2415,23454.87,25869.87
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,QM,Supplies & Materials,55000,119.94,13558.91,13678.85
2017,GNFD,General Fund,0001STS,Street Services GF,2.2599999999999998,Interagency and Transportation Administration,PS,Personnel Services,1304535,0,397900.3,397900.3
2016,GNFD,General Fund,0001BAC,Mgmt Services - Boards and Commissions,5.09,Boards and Commissions Liaison,QM,Supplies & Materials,1500,0,0,0
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.14,Economic Development Research and Information Services,QM,Supplies & Materials,17415,0,322.43,322.43
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,RE,Reimbursements,-930673,0,-610850,-610850
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.52,Utility Management,QM,Supplies & Materials,409,0,0,0
2016,GNFD,General Fund,0001HOU,Housing GF,3.08,Community/Senior Services,QM,Supplies & Materials,227469,0,62249.54,62249.54
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.0900000000000001,Fire and Rescue Emergency Response,RE,Reimbursements,-264000,0,-788524.78,-788524.78
2016,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.1,Dallas Convention Center,PS,Personnel Services,7492397,0,6897672.4,6897672.4
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.5299999999999998,Water Production and Delivery,RE,Reimbursements,-1261642,0,-2299068.41,-2299068.41
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,9.99,Department Support,RE,Reimbursements,-172258,0,0,0
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.11,Dallas Film Commission,QM,Supplies & Materials,1000,0,1414.79,1414.79
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.33,Special Operations,QM,Supplies & Materials,165534,8742.22,298349.4,307091.62
2016,GNFD,General Fund,0001EBS,Building Services GF,1.32,Security Service for City Facilities,QV,Contractual & Other Services,1353438,3281,1441231.19,1444512.19
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,RC,Capital Outlay,104751,0,0,0
2016,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,RE,Reimbursements,-322573,0,-219920.04,-219920.04
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,RC,Capital Outlay,12278,0,5125,5125
2016,GNFD,General Fund,0001CCS,Code Compliance GF,9.99,Department Support,PS,Personnel Services,871196,0,0,0
2016,GNFD,General Fund,0001PBW,Public Works GF,3.01,Air Quality Compliance,QM,Supplies & Materials,10893,0,7043.11,7043.11
2016,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.16,City Council Support,PS,Personnel Services,533474,0,539308.38,539308.38
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.03,Civil Adjudication Court,QM,Supplies & Materials,575,0,0,0
2016,GNFD,General Fund,0001CTJ,Judiciary GF,1.04,Community Court,PS,Personnel Services,80211,0,0,0
2016,GNFD,General Fund,0001PBW,Public Works GF,3.02,Ambient Air Monitoring,QM,Supplies & Materials,23920,0,25149.96,25149.96
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.17,Field Inspections of Private Development Construction Sites,RC,Capital Outlay,0,54915,0,54915
2016,GNFD,General Fund,0001HOU,Housing GF,3.09,Comprehensive Homeless Outreach,RE,Reimbursements,-163366,0,-486195.58,-486195.58
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.03,Animal Remains Collection,QV,Contractual & Other Services,85181,0,88782.42,88782.42
2016,GNFD,General Fund,0001POM,Business Development & Procurement GF,2.5099999999999998,Vendor Development,QV,Contractual & Other Services,19603,0,9233.98,9233.98
2016,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,RE,Reimbursements,-7941426,0,-10369049.26,-10369049.26
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.1100000000000003,Public Art for Dallas,QM,Supplies & Materials,3398,0,4429.32,4429.32
2016,GNFD,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,5.41,Intergovernmental Services,RE,Reimbursements,-332215,0,-299056.14,-299056.14
2016,GNFD,General Fund,0001EBS,Building Services GF,1.32,Security Service for City Facilities,QM,Supplies & Materials,72427,1399.38,21529.95,22929.33
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.E,City Fleet Maintenance and Repair Services,QM,Supplies & Materials,12293485,4946.51,9555963.01,9560909.52
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.19,Recycling Collection and Waste Diversion,QM,Supplies & Materials,497930,0,321059.48,321059.48
2016,OTHO,Other Operating Fund,0278PER,Employee Benefits Administration,5.J,HR Benefits Administration Services,QM,Supplies & Materials,15685,0,15117.78,15117.78
2017,GNFD,General Fund,0001STS,Street Services GF,2.31,Pavement Management,PS,Personnel Services,238071,0,70433.76,70433.76
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.D,City Fleet Asset Management,QM,Supplies & Materials,546167,0,977396.46,977396.46
2016,GNFD,General Fund,0001CVS,Civil Service GF,5.33,Fire Applicant - Physical Abilities Testing,QV,Contractual & Other Services,1678,0,0,0
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.16,Landfill Services,PS,Personnel Services,6077168,0,6098931.05,6098931.05
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",RE,Reimbursements,0,0,-16273.7,-16273.7
2016,OTHO,Other Operating Fund,0195ORM,Office of Risk Management,5.P,Risk Management Services,QM,Supplies & Materials,293499,0,143709.51,143709.51
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,QM,Supplies & Materials,985848,0,695374.74,695374.74
2016,GNFD,General Fund,0001DPD,Police Department GF,1.3,Police Recruiting and Personnel Service,PS,Personnel Services,6927914,0,6623217.38,6623217.38
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,PS,Personnel Services,759664,0,506595.88,506595.88
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.1,Consumer Health,PS,Personnel Services,2439606,0,2164668.45,2164668.45
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.16,Express Plan Review,PS,Personnel Services,1539515,0,1526668.83,1526668.83
2016,GNFD,General Fund,0001DPD,Police Department GF,1.1499999999999999,Juvenile Case Managers/First Offender Program,QM,Supplies & Materials,0,0,0,0
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",RC,Capital Outlay,298479,88935.37,185917.62,274852.99
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,RE,Reimbursements,-576915,0,-163163.94,-163163.94
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.45,Litigation,RE,Reimbursements,-125706,0,-31573.83,-31573.83
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.N,Internal Telephone and Data Communication,QM,Supplies & Materials,115993,125000,133688.23,258688.23
2016,GNFD,General Fund,0001PBW,Public Works GF,5.43,Land Surveying Services,QV,Contractual & Other Services,127891,0,129697.4,129697.4
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,PS,Personnel Services,13629796,0,14388654.29,14388654.29
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.11,Dallas Film Commission,RE,Reimbursements,-201298,0,-70000,-70000
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,9.99,Department Support,QM,Supplies & Materials,25774,0,37658.31,37658.31
2016,GNFD,General Fund,0001HOU,Housing GF,3.09,Comprehensive Homeless Outreach,QM,Supplies & Materials,27216,0,18627.33,18627.33
2016,GNFD,General Fund,0001PBW,Public Works GF,9.99,Department Support,QM,Supplies & Materials,3689,0,26260.88,26260.88
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,9.99,Department Support,RE,Reimbursements,-2780538,0,-158016.33,-158016.33
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,RC,Capital Outlay,280000,55753.72,60492.66,116246.38
2016,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,TR,Transfers Out,273383,0,0,0
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.14,Economic Development Research and Information Services,QM,Supplies & Materials,17416,0,3542.82,3542.82
2016,GNFD,General Fund,0001DPD,Police Department GF,9.99,Department Support,QM,Supplies & Materials,71167,0,181702.79,181702.79
2016,GNFD,General Fund,0001EAD,Mgmt Services - Ethics and Diversity,5.3,Ethics and Diversity,RE,Reimbursements,-22529,0,0,0
2016,GNFD,General Fund,0001PBW,Public Works GF,2.2599999999999998,Interagency and Transportation Administration,QV,Contractual & Other Services,267903,325,199934.07,200259.07
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.G,Disposal of Surplus and Police Unclaimed Property,QV,Contractual & Other Services,507816,0,614044.47,614044.47
2016,GNFD,General Fund,0001HOU,Housing GF,5.37,Housing Management/Contract Support,QM,Supplies & Materials,2000,0,21945.21,21945.21
2016,GNFD,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,5.01,311 Customer Service Center,QM,Supplies & Materials,18983,0,80571.34,80571.34
2016,GNFD,General Fund,0001EBS,Building Services GF,5.17,"City Facility Operation, Maintenance and Repair",RE,Reimbursements,-853544,0,-2500219.52,-2500219.52
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.0999999999999996,"Planning, Design, Construction & EMS and Environ Compliance",PS,Personnel Services,2470140,0,2662776.98,2662776.98
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,QM,Supplies & Materials,84719,0,46620.69,46620.69
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,,NONE,QV,Contractual & Other Services,0,0,2906.39,2906.39
2017,GNFD,General Fund,0001OFS,Non-Departmental,5.46,Non-Departmental,QM,Supplies & Materials,50000,0,2071.81,2071.81
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.4,Small Business Initiatives,TR,Transfers Out,100000,0,0,0
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,QV,Contractual & Other Services,448623,5190,312818.31,318008.31
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,2.2999999999999998,Operation & Maintenance of Fair Park,QM,Supplies & Materials,2520173,0,2270154.87,2270154.87
2016,GNFD,General Fund,0001STS,Street Services GF,2.38,Rights-of-Way Maintenance Contracts and Inspections Group,QV,Contractual & Other Services,9891660,0,4477623.84,4477623.84
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.35,Real Estate and Relocation,PS,Personnel Services,2079348,0,2113447.4,2113447.4
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.D,City Fleet Asset Management,RC,Capital Outlay,4962844,3506656,0,3506656
2016,GNFD,General Fund,0001ECO,Economic Development GF,9.99,Department Support,QM,Supplies & Materials,0,0,961.68,961.68
2016,EFOP,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,4.13,WRR Municipal Radio Classical Music,QV,Contractual & Other Services,621472,1393.98,651725.6,653119.58
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,9.99,Department Support,PS,Personnel Services,1515757,0,1543287.68,1543287.68
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,QM,Supplies & Materials,589531,0,178213.42,178213.42
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.26,Water Conservation,QM,Supplies & Materials,114000,1920,77165.38,79085.38
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.15,Engineering & Inspection Review for Private Development,PS,Personnel Services,2131009,0,2175225.04,2175225.04
2016,GNFD,General Fund,0001OFS,Non-Departmental,5.46,Non-Departmental,RC,Capital Outlay,875000,666935,80442,747377
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.1,Consumer Health,QM,Supplies & Materials,150837,315.75,185351.72,185667.47
2016,GNFD,General Fund,0001LIB,Library GF,4.07,Library Operations & Public Service,RE,Reimbursements,0,0,-18950.79,-18950.79
2016,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,8.8800000000000008,Debt Service,WA,Debt Svc-Principal,145520977,0,145520977.3,145520977.3
2017,GNFD,General Fund,0001STS,Street Services GF,2.0499999999999998,Capital and Implementation Program,RC,Capital Outlay,347780,0,67192.63,67192.63
2016,GNFD,General Fund,0001PBW,Public Works GF,2.31,Pavement Management,QM,Supplies & Materials,4189,0,5344.24,5344.24
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,2.54,Water Utilities Capital Program Management,PS,Personnel Services,11373842,0,10922244.75,10922244.75
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,QM,Supplies & Materials,1052201,57,1009382.12,1009439.12
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,9.99,Department Support,RE,Reimbursements,-337757,0,0,0
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.12,Dallas Animal Services,PS,Personnel Services,6950185,0,6842463.44,6842463.44
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.01,Aquatic Services,QV,Contractual & Other Services,612216,0,376019.62,376019.62
2016,GNFD,General Fund,0001PBW,Public Works GF,3.02,Ambient Air Monitoring,QV,Contractual & Other Services,131779,0,112779.6,112779.6
2016,GNFD,General Fund,0001LIB,Library GF,4.0599999999999996,Library Materials & Collection Management,RE,Reimbursements,0,0,-57457.89,-57457.89
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.2,Residential Refuse Collection,PS,Personnel Services,14519109,0,14533459.48,14533459.48
2016,GNFD,General Fund,0001OEM,Mgmt Services - Emergency Management,1.07,Emergency Management Operations,QM,Supplies & Materials,42787,0,40712,40712
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.05,Leisure Venue Management,QM,Supplies & Materials,739001,0,1099521.83,1099521.83
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.Q,Strategic Technology Management,PS,Personnel Services,6864062,0,5487873.45,5487873.45
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0699999999999998,Capital Facilities,RC,Capital Outlay,52622,0,0,0
2016,GNFD,General Fund,0001PBW,Public Works GF,2.41,Street Cut and Right-of-Way Management (Cut Control),QM,Supplies & Materials,15142,0,9004.81,9004.81
2016,GNFD,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,5.01,311 Customer Service Center,PS,Personnel Services,5331286,0,5583025.94,5583025.94
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.13,"Environ Enforcement, Compliance, and Support (Legal Service)",RE,Reimbursements,-98665,0,-17388.96,-17388.96
2016,GNFD,General Fund,0001PBW,Public Works GF,3.02,Ambient Air Monitoring,RC,Capital Outlay,25000,0,0,0
2016,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,RE,Reimbursements,-6579773,0,-5344576.09,-5344576.09
2016,GNFD,General Fund,0001POM,Business Development & Procurement GF,5.49,Purchasing/Contract Management,QV,Contractual & Other Services,293487,0,299764.26,299764.26
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,QM,Supplies & Materials,2254788,0,2270541.76,2270541.76
2016,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,QM,Supplies & Materials,3553393,0,3554809.59,3554809.59
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,9.99,Department Support,RE,Reimbursements,-373899,0,-57921,-57921
2016,GNFD,General Fund,0001ECO,Economic Development GF,9.99,Department Support,RE,Reimbursements,-884013,0,-937793.22,-937793.22
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,5.34,General Counsel,RE,Reimbursements,-323340,0,-98900.89,-98900.89
2016,GNFD,General Fund,0001PER,Human Resources GF,5.38,HRIS and HR Payroll Services,QV,Contractual & Other Services,548644,0,530301.88,530301.88
2016,GNFD,General Fund,0001STS,Street Services GF,2.39,Service Maintenance Areas,QV,Contractual & Other Services,1867198,15,1918380.84,1918395.84
2016,GNFD,General Fund,0001PBW,Public Works GF,5.43,Land Surveying Services,QM,Supplies & Materials,17207,0,33341.58,33341.58
2016,GNFD,General Fund,0001BMS,Office of Financial Services GF,9.99,Department Support,RE,Reimbursements,-301469,0,-267499.69,-267499.69
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.0099999999999998,Area Redevelopment,QM,Supplies & Materials,10420,0,5790.5,5790.5
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.19,Recycling Collection and Waste Diversion,PS,Personnel Services,3840774,0,3864908.29,3864908.29
2016,GNFD,General Fund,0001PBW,Public Works GF,2.0699999999999998,Capital Facilities,RE,Reimbursements,-1089826,0,-1071982.11,-1071982.11
2016,GNFD,General Fund,0001PNV,Planning and Urban Design GF,2.3199999999999998,Planning and Design Studio,PS,Personnel Services,1293785,0,698494.47,698494.47
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,4.09,Park Land Maintained,RE,Reimbursements,-3734899,0,-4250190.84,-4250190.84
2016,GNFD,General Fund,0001ECO,Economic Development GF,2.0099999999999998,Area Redevelopment,RE,Reimbursements,-773867,0,-688038.53,-688038.53
2016,DSGO,General Obligation Debt Service,0981BMS,Debt Service BMS,8.8800000000000008,Debt Service,WB,Debt Svc-Interest On Bonds,98881308,0,91039204.85,91039204.85
2016,GNFD,General Fund,0001PKR,Park and Recreation GF,9.99,Department Support,RE,Reimbursements,-2780538,0,0,0
